log_r,h,rssi_dbm,phase_rad,log_f
0.5561306702,0.7579500412,-0.7799925366,-0.1387189599,0.8492623823
1.0343738919,-0.2314342617,0.8828863982,-1.5114119515,-1.4980782942
0.5551542859,0.5087823221,-0.1148409627,0.9202156336,-1.4980782942
0.5551542859,0.5087823221,0.3840227177,1.351633431,-0.7822625282
0.5556610771,0.3078772258,-0.2811288562,0.8025562344,0.6376159853
0.5556610771,0.2426762543,0.0514469308,-1.6879010505,-0.9251097347
0.5556610771,0.2426762543,0.0514469308,-1.0211644545,-0.1413914229
0.5556610771,0.0698983008,-0.2811288562,0.1946493381,0.7082031956
0.5659563043,-0.0576123345,-0.1148409627,1.7438314286,0.0005950224
0.5659563043,-0.0576123345,0.2177348243,-1.3545327525,-1.1396761992
1.0413000811,-0.7957575086,0.2177348243,0.037770139,-1.1396761992
0.5659924093,-0.1227568131,0.3840227177,-1.4133624521,-1.1396761992
0.5659924093,-0.2469219498,-0.2811288562,-1.3545327525,-0.0703787554
0.5659924093,-0.3097222351,-0.2811288562,-0.1387189599,0.7787519807
0.5659924093,-0.4899021425,0.8828863982,1.685001729,-1.0681145657
0.5659924093,-0.6592673166,0.8828863982,-1.4525822519,-1.2112773695
0.5662449689,-1.2250976667,0.2177348243,1.4104631307,-0.3546631907
0.5667449079,-1.5282209346,0.3840227177,-1.6879010505,-1.2829181203
0.5667449079,-1.5900194168,0.3840227177,1.5673423297,-0.4970396016
0.5667449079,-1.7570778941,-0.1148409627,-1.1780436536,-1.3545984955
0.5667449079,-1.7939910806,0.0514469308,0.861385934,-0.9965924254
0.5645164523,-2.2739409958,-0.2811288562,1.4692928303,-0.5682865055
1.4386774605,0.4416797043,-1.278856217,0.1358196384,-1.4980782942
1.4386774605,0.2735363772,-1.278856217,0.1358196384,-1.4263185388
1.439050577,0.1550900072,-0.9462804301,0.3123087373,-1.4980782942
1.4388534806,0.0252574039,-1.278856217,-0.5309169575,-1.1396761992
1.4388534806,0.0252574039,-1.278856217,-0.8054555558,-1.1396761992
1.439050577,-0.0923009464,-1.278856217,-0.8054555558,-1.0681145657
1.439050577,-0.1136478135,-1.1125683236,-0.8054555558,-1.2112773695
1.439050577,-0.0587837959,-0.9462804301,-0.0210595606,-1.2829181203
1.439050577,-0.0635951919,-0.9462804301,0.1946493381,-1.3545984955
1.439050577,-0.0637085941,-1.278856217,-1.4525822519,-0.9965924254
1.439050577,-0.0637085941,-1.1125683236,-1.3545327525,-0.9965924254
1.439050577,-0.0618173411,-0.9462804301,-0.0210595606,-1.4263185388
1.439050577,-0.0668350888,-0.9462804301,0.6848968351,-1.4980782942
1.439050577,-0.0807300972,-0.7799925366,0.4691879364,-1.4980782942
1.439050577,-0.1226508937,-1.278856217,1.7438314286,-0.9251097347
1.439050577,-0.2734197582,-1.1125683236,-0.9035050552,-1.1396761992
1.439050577,-0.3582305504,-1.278856217,1.0770948327,-1.0681145657
1.439050577,-0.3918217066,-0.9462804301,-0.5701367573,-1.2112773695
1.439050577,-0.3918217066,-0.9462804301,-0.9035050552,-1.2112773695
1.439451842,-0.5692701844,-0.9462804301,-0.2955981589,-1.2829181203
1.439451842,-0.5587652128,-0.9462804301,-0.1975486595,-1.3545984955
1.439451842,-0.5587652128,-0.9462804301,-0.0210595606,-1.3545984955
1.439451842,-0.5342492002,-0.9462804301,0.1946493381,-1.4263185388
1.439451842,-0.5323579471,-0.9462804301,0.2534790377,-1.4980782942
1.439451842,-0.5323579471,-1.278856217,-0.6877961566,-1.1396761992
1.439451842,-0.6327023708,-0.9462804301,-0.9035050552,-1.2112773695
1.439451842,-0.874679149,-1.1125683236,-0.1387189599,-1.3545984955
1.439451842,-0.9808707681,-1.1125683236,0.3123087373,-1.4980782942
1.439451842,-0.9862644892,-1.278856217,-1.3545327525,-1.1396761992
1.439451842,-0.9843732362,-1.278856217,-1.2368733532,-1.2112773695
1.4398246283,-1.0282895415,-1.1125683236,-0.9623347549,-1.2829181203
1.4398246283,-1.1077985991,-1.1125683236,-0.5309169575,-1.3545984955
1.4398246283,-1.1077985991,-1.1125683236,-0.4720872579,-1.3545984955
0.5662925368,2.0994203323,-0.9462804301,1.5085126301,1.2715210723
1.4402258125,-1.4573135629,-1.278856217,0.037770139,-1.4263185388
1.4367392398,-1.5108622733,-1.1125683236,-0.0798892603,-1.4980782942
1.0370192407,1.1324737195,0.0514469308,0.0769899388,-1.1396761992
1.0370192407,1.1273967918,0.0514469308,-0.2563783592,-1.0681145657
1.0370192407,1.1273967918,0.0514469308,-0.2563783592,-1.0681145657
1.4367392398,-1.4636913766,-1.278856217,-1.4525822519,-1.2112773695
1.0370192407,1.128730482,-0.1148409627,0.4103582368,-1.2112773695
0.5608958606,1.8823820604,-1.1125683236,-1.7271208502,1.2012400972
0.5608958606,1.8804907791,-0.6137046431,1.1359245323,1.3417639548
1.4367392398,-1.4618001094,-1.278856217,-1.0211644545,-1.2829181203
1.4367392398,-1.4618001094,-1.278856217,-0.8446753556,-1.2829181203
1.4367392398,-1.4599088281,-1.1125683236,-1.0799941542,-1.3545984955
1.0370192407,1.129288059,-0.1148409627,-0.6877961566,-0.9965924254
0.5608958606,1.8750980055,-0.7799925366,1.7438314286,1.2715210723
0.5608958606,1.7638206699,-1.1125683236,0.4103582368,0.990168202
0.5608958606,1.7638206699,-1.1125683236,-0.6289664569,0.990168202
0.5608958606,1.6067429446,-0.9462804301,0.4691879364,0.8492623823
0.5608958606,1.5123448251,-0.6137046431,1.7438314286,-0.7822625282
1.0370192407,0.7431120978,0.0514469308,-0.9623347549,-0.9251097347
1.0370192407,0.6341423416,0.8828863982,0.3123087373,-1.1396761992
1.0370192407,0.6221824243,0.8828863982,0.0769899388,-1.1396761992
0.5608958606,1.373280929,-1.1125683236,0.3515285371,0.7787519807
1.0370192407,0.6394472013,0.8828863982,-0.2955981589,-1.0681145657
1.0370192407,0.6436872213,0.8828863982,0.528017636,-1.2112773695
0.5608958606,1.4094711902,-0.6137046431,-0.4132575582,-0.2835335978
0.5608958606,1.4152365213,-1.278856217,-1.1780436536,1.2012400972
0.5608958606,1.4152365213,-0.6137046431,-0.3544278586,-0.3546631907
0.5608958606,1.4152365213,-0.9462804301,1.7438314286,1.3417639548
1.0370192407,0.6640338012,0.5503106112,1.194754232,-1.2829181203
0.5608958606,1.4149385982,-0.4474167497,0.2534790377,-0.4970396016
1.0370192407,0.6626925592,0.2177348243,1.5673423297,-1.3545984955
1.0370192407,0.6640338012,0.5503106112,-0.9623347549,-0.9965924254
0.5608958606,1.4152365213,-0.9462804301,-0.1975486595,0.9197344422
0.5608958606,1.4152365213,-0.9462804301,-0.0210595606,0.9197344422
0.5608958606,1.4171278025,-1.1125683236,-1.4133624521,1.2715210723
0.5608958606,1.4165709634,-0.6137046431,-1.1388238538,-0.8536664501
0.5608958606,1.4153460023,-1.278856217,-0.2563783592,1.0605637035
0.5608958606,1.4152365213,-1.278856217,-0.4720872579,1.0605637035
0.5608958606,1.4152365213,-0.6137046431,1.0182651331,-0.5682865055
0.5608958606,1.415801774,-1.1125683236,-0.1975486595,0.990168202
0.5608958606,1.3943502783,-0.4474167497,-0.0798892603,-0.4258318443
1.0370192407,0.6310944142,0.0514469308,1.7438314286,-1.4263185388
0.5608958606,1.3513093299,-0.4474167497,1.2928037314,-0.7108979256
0.5608958606,1.3513093299,-0.9462804301,0.3123087373,0.8492623823
1.0370192407,0.4946966346,0.0514469308,-1.3545327525,-1.4980782942
1.0370192407,0.4946966346,0.0514469308,-1.2368733532,-1.4980782942
0.5608958606,1.2379613623,-0.2811288562,1.6261720293,-0.7822625282
0.5608958606,1.224828868,-1.1125683236,1.1359245323,0.6376159853
0.5608958606,1.1830668924,-1.1125683236,0.9202156336,0.6376159853
0.5608958606,1.1698433984,-0.4474167497,-1.2957030529,-0.9251097347
1.0370192407,0.4398573516,0.3840227177,-1.0799941542,-0.9251097347
0.5608958606,1.1698433984,-0.1148409627,-1.1780436536,-0.1413914229
0.5608958606,1.1555722015,-1.1125683236,0.4691879364,0.7082031956
0.5608958606,1.1372187128,-1.1125683236,0.528017636,0.7082031956
1.0374280969,0.3609415602,0.8828863982,0.037770139,-1.1396761992
1.0377349844,0.3548958549,0.8828863982,-0.0210595606,-1.1396761992
0.5621199452,1.0574983516,-0.1148409627,-1.3545327525,-0.0703787554
0.5621199452,1.0529345752,-0.9462804301,0.3515285371,0.7787519807
0.5608958606,1.000252315,-1.278856217,-0.6289664569,1.130920988
1.0370192407,0.2329972458,0.8828863982,-0.3544278586,-1.0681145657
1.0379704284,0.1800419353,0.8828863982,0.3515285371,-1.2112773695
0.5621199452,0.9155736823,-0.2811288562,-0.1975486595,-0.2835335978
0.5621199452,0.9052901496,-0.9462804301,1.5673423297,0.4963261212
0.5621199452,0.9005104733,-0.1148409627,-0.2955981589,-0.3546631907
1.0379704284,0.1619753921,0.8828863982,0.7437265347,-1.2829181203
0.5621199452,0.9132906162,-0.7799925366,1.194754232,0.5669903078
0.5621199452,0.9133024393,0.0514469308,0.1358196384,-0.4970396016
0.5621199452,0.9106043682,0.0514469308,0.2534790377,-0.4970396016
1.0379704284,0.160433923,0.8828863982,1.5673423297,-1.3545984955
0.5621199452,0.9095985662,-0.1148409627,-0.9035050552,-0.2124430228
1.0379704284,0.1578950077,0.8828863982,-0.9035050552,-0.9965924254
0.5621199452,0.9086358338,-0.4474167497,-0.8054555558,-0.9965924254
0.5621199452,0.9036631842,-0.6137046431,0.3515285371,0.9197344422
0.5621199452,0.9036631842,-0.6137046431,0.0769899388,0.9197344422
0.5621199452,0.9046941478,0.0514469308,-1.4525822519,-0.8536664501
0.5621199452,0.9076863265,-1.1125683236,-0.5701367573,1.0605637035
0.5621199452,0.9076863265,0.0514469308,0.4691879364,-0.5682865055
0.5621199452,0.9043048803,-0.9462804301,-0.8054555558,0.990168202
0.5621199452,0.9049651582,0.0514469308,0.861385934,-0.6395725991
0.5621199452,0.9061961333,-0.1148409627,-0.0210595606,-0.4258318443
0.5621199452,0.9047714483,-0.4474167497,0.3123087373,-1.4263185388
1.0379704284,0.154582312,0.5503106112,1.685001729,-1.4263185388
0.5621199452,0.9049753684,0.0514469308,1.194754232,-0.7108979256
0.5621199452,0.9049753684,-0.6137046431,0.4103582368,0.8492623823
1.0379704284,0.1554553072,0.5503106112,-1.3545327525,-1.4980782942
0.5621199452,0.9053088643,0.0514469308,1.4104631307,-0.7822625282
0.5621199452,0.9053088643,-0.7799925366,0.6848968351,0.6376159853
0.5621199452,0.9028843393,-0.7799925366,0.9202156336,0.6376159853
0.5621199452,0.9028843393,-0.1148409627,-1.0799941542,-0.9251097347
1.0379704284,0.1525496925,0.3840227177,-1.0211644545,-0.9251097347
0.5621199452,0.901171803,0.0514469308,-0.9623347549,-0.1413914229
0.5621199452,0.8835008147,-0.7799925366,0.4103582368,0.7082031956
1.0379704284,0.1035365446,1.0491742916,0.1946493381,-1.1396761992
0.5621199452,0.8354892309,-0.7799925366,-0.2955981589,-1.1396761992
0.5621199452,0.8354892309,-0.6137046431,-0.1975486595,-1.1396761992
0.5621199452,0.792610225,0.0514469308,-1.4133624521,-0.0703787554
0.5621199452,0.7708302005,-0.7799925366,0.528017636,0.7787519807
0.5621199452,0.7302633383,-1.1125683236,-1.1780436536,1.130920988
0.5621199452,0.714348974,-0.6137046431,-0.8054555558,-1.0681145657
1.0379704284,-0.0680986716,1.0491742916,-0.2955981589,-1.0681145657
1.0379704284,-0.0680986716,0.8828863982,-0.2955981589,-1.0681145657
1.0379704284,-0.1029350157,0.8828863982,0.6848968351,-1.2112773695
0.5621199452,0.6595218531,-0.7799925366,-0.4720872579,-1.2112773695
0.5621199452,0.6478058104,-0.2811288562,-0.5701367573,-0.2835335978
0.5621199452,0.6225067444,-0.2811288562,-0.5309169575,-0.2835335978
0.5621199452,0.6225067444,-0.7799925366,1.5673423297,0.4963261212
0.5621199452,0.6225067444,-0.7799925366,1.4692928303,0.4963261212
0.5621199452,0.5789783454,-1.278856217,-0.6877961566,1.2012400972
0.5621199452,0.5335968986,-0.2811288562,-0.1387189599,-0.3546631907
0.5621199452,0.4856901512,-1.278856217,1.6261720293,0.4256233835
0.5621199452,0.4856901512,-1.1125683236,-1.3545327525,1.3417639548
1.0379704284,-0.2762582319,0.8828863982,1.0770948327,-1.2829181203
0.5621199452,0.4744825941,-0.2811288562,-0.6877961566,-1.2829181203
1.0379704284,-0.2859601681,0.8828863982,1.194754232,-1.2829181203
0.5621199452,0.4544902496,-0.6137046431,1.2339740317,0.5669903078
0.5621199452,0.4544902496,0.0514469308,-0.1387189599,-0.4970396016
0.5621199452,0.4437686962,0.0514469308,-0.2563783592,-0.4970396016
1.0379704284,-0.3059784835,0.7165985047,1.5673423297,-1.3545984955
0.5621199452,0.4437686962,0.0514469308,-0.2955981589,-1.3545984955
0.5621199452,0.4437067412,-0.1148409627,-0.6289664569,-0.2124430228
1.0379704284,-0.3028784978,0.8828863982,-0.8446753556,-0.9965924254
0.5621199452,0.4503982254,0.0514469308,-0.9035050552,-0.9965924254
0.5621199452,0.452747045,-0.7799925366,-0.4132575582,0.9197344422
0.5621199452,0.452747045,-0.7799925366,-0.3544278586,0.9197344422
0.5621199452,0.4726278897,-1.278856217,-0.7466258562,1.2715210723
0.5621199452,0.4726278897,0.5503106112,1.5673423297,-0.8536664501
0.5621199452,0.4863325973,-1.1125683236,-0.6877961566,1.0605637035
0.5621199452,0.487440608,0.0514469308,0.2534790377,-0.5682865055
0.5621199452,0.4901151035,-0.9462804301,-0.4132575582,0.990168202
0.5621199452,0.4844412315,0.5503106112,0.3123087373,-0.6395725991
0.5621199452,0.4844412315,0.3840227177,0.3123087373,-0.6395725991
0.5621199452,0.4835672761,-0.1148409627,-0.1387189599,-0.4258318443
1.0379704284,-0.2681908476,0.7165985047,1.7438314286,-1.4263185388
0.5621199452,0.4825499785,0.0514469308,-0.0210595606,-1.4263185388
0.5621199452,0.4825499785,0.0514469308,0.0769899388,-1.4263185388
0.5621199452,0.4825499785,0.5503106112,0.861385934,-0.7108979256
0.5621199452,0.4839352042,-0.6137046431,0.2534790377,0.8492623823
1.0379704284,-0.2644082287,0.7165985047,-1.4133624521,-1.4980782942
0.5621199452,0.4863325973,-0.1148409627,0.6848968351,-1.4980782942
1.0379704284,-0.2657568411,0.7165985047,-1.4133624521,-1.4980782942
0.5621199452,0.4857143266,0.5503106112,1.351633431,-0.7822625282
0.5621199452,0.4849839849,0.5503106112,1.2928037314,-0.7822625282
0.5621199452,0.4844412315,-0.4474167497,0.8025562344,0.6376159853
0.5621199452,0.4844412315,-0.4474167497,0.8025562344,0.6376159853
0.5621199452,0.4844412315,0.0514469308,-1.4525822519,-0.9251097347
0.5621199452,0.4844412315,0.0514469308,-0.9623347549,-0.1413914229
0.5621199452,0.4844412315,-0.6137046431,0.861385934,0.7082031956
0.5621199452,0.4863325973,0.0514469308,1.6261720293,0.0005950224
0.5621199452,0.4863325973,0.0514469308,1.7438314286,0.0005950224
1.0379704284,-0.2644082287,0.8828863982,0.3515285371,-1.1396761992
0.5621199452,0.4863325973,-0.4474167497,-0.5701367573,-1.1396761992
0.5621199452,0.4833336759,0.0514469308,-1.4525822519,-0.0703787554
0.5621199452,0.4833336759,-0.6137046431,0.528017636,0.7787519807
0.5621199452,0.4701806799,-1.278856217,-0.4132575582,1.130920988
0.5621199452,0.4701806799,-1.278856217,-0.2955981589,1.130920988
0.5624768131,0.4454985727,-0.2811288562,-0.9035050552,-1.0681145657
1.0382922823,-0.3011923081,0.8828863982,-0.2955981589,-1.0681145657
0.5624332504,0.4308071365,-0.2811288562,-1.0211644545,-1.2112773695
1.0379704284,-0.3540274429,0.8828863982,0.6260671354,-1.2112773695
0.5623570311,0.3639505608,-0.1148409627,-0.5309169575,-0.2835335978
0.5623570311,0.3639505608,-0.7799925366,1.5085126301,0.4963261212
0.5625940324,0.2979877587,-1.278856217,-0.6877961566,1.2012400972
0.5625940324,0.2979877587,-0.2811288562,1.4104631307,0.071529953
0.5623544158,0.2333294278,-0.2811288562,-0.8054555558,-0.3546631907
1.0385300944,-0.5698175563,0.7165985047,0.861385934,-1.2829181203
0.5625940324,0.1771698995,0.2177348243,-0.8054555558,-1.2829181203
0.5625940324,0.1657408073,0.2177348243,-0.7466258562,-1.2829181203
0.5625940324,0.1657408073,-0.2811288562,0.9202156336,0.5669903078
0.5625940324,0.1657408073,-0.2811288562,1.2928037314,0.5669903078
0.5625940324,0.1592137733,0.0514469308,-0.2563783592,-0.4970396016
1.0385300944,-0.6076328575,0.3840227177,1.2928037314,-1.3545984955
0.5625940324,0.125687405,0.7165985047,-0.3544278586,-1.3545984955
0.5625940324,0.125687405,0.0514469308,-0.8446753556,-0.2124430228
0.5625940324,0.0927118931,0.3840227177,-1.4133624521,-0.9965924254
1.0385300944,-0.6514784379,0.3840227177,-0.6877961566,-0.9965924254
0.5625940324,0.0927118931,-0.7799925366,-0.4720872579,0.9197344422
0.5625940324,0.0704721566,-0.7799925366,-0.9035050552,0.9197344422
0.5625940324,0.0163885647,0.8828863982,1.4692928303,-0.8536664501
0.5625940324,0.0070269736,-1.278856217,-0.2955981589,1.0605637035
0.5625940324,-0.0292963464,0.7165985047,-0.3544278586,-0.5682865055
0.5625940324,-0.0355719567,-1.278856217,-0.5701367573,0.990168202
0.5625940324,-0.040728111,0.8828863982,-0.0798892603,-0.6395725991
0.5625940324,-0.0031878244,0.0514469308,-0.8446753556,-0.4258318443
0.5625940324,-0.0031878244,0.7165985047,0.2534790377,-1.4263185388
1.0385300944,-0.7489864621,0.2177348243,1.6261720293,-1.4263185388
0.5625940324,0.0176696035,1.0491742916,0.3515285371,-0.7108979256
0.5625940324,0.0176696035,-0.4474167497,-0.1975486595,0.8492623823
1.0385300944,-0.7378512525,0.0514469308,-1.6290713508,-1.4980782942
0.5625940324,0.0169946215,0.3840227177,0.7437265347,-1.4980782942
0.5625940324,0.0117008084,0.8828863982,0.9594354334,-0.7822625282
0.5625940324,0.0117008084,0.8828863982,0.9594354334,-0.7822625282
0.5625940324,0.0117008084,0.0514469308,0.861385934,0.6376159853
0.5625940324,0.0089517052,0.7165985047,-1.5114119515,-0.9251097347
0.5625940324,0.0089517052,0.0514469308,-1.0211644545,-0.1413914229
0.5625940324,0.0089517052,0.0514469308,0.4691879364,0.7082031956
0.5625940324,0.0089517052,0.0514469308,0.4691879364,0.7082031956
0.5625940324,0.0099579855,0.0514469308,-1.6290713508,0.0005950224
0.5625940324,0.0106955515,0.2177348243,1.685001729,0.0005950224
1.0385300944,-0.7383914483,0.3840227177,0.0769899388,-1.1396761992
0.5625940324,0.0127342114,0.2177348243,-1.2368733532,-1.1396761992
0.5625940324,0.0127342114,0.2177348243,-1.5702416512,-0.0703787554
0.5625940324,0.0127342114,-0.1148409627,0.1946493381,0.7787519807
0.5625940324,0.0127342114,-0.1148409627,0.2534790377,0.7787519807
0.5625940324,0.0089517052,-1.278856217,-0.2563783592,1.130920988
0.5625940324,0.0089517052,-1.278856217,-0.3544278586,1.130920988
1.0385300944,-0.7414166684,0.3840227177,-0.3544278586,-1.0681145657
0.5625940324,0.0089517052,0.2177348243,-1.4525822519,-1.0681145657
1.0385300944,-0.7377448414,0.3840227177,0.6260671354,-1.2112773695
0.5625940324,0.0118841769,0.3840227177,-1.0799941542,-1.2112773695
0.5625940324,0.0118841769,-0.2811288562,-0.8054555558,-0.2835335978
0.5625940324,0.0127342114,-0.6137046431,1.2928037314,0.4963261212
0.5625940324,0.0109707093,-1.278856217,-0.6877961566,1.2012400972
0.5625940324,0.0109707093,0.0514469308,1.2339740317,0.071529953
0.5625940324,0.0007643915,-0.1148409627,-0.8054555558,-0.3546631907
0.5625940324,0.0007643915,-1.1125683236,1.6261720293,0.4256233835
1.0385300944,-0.8000463027,0.2177348243,0.9202156336,-1.2829181203
0.5625940324,-0.0388265734,0.7165985047,-0.9623347549,-1.2829181203
0.5625940324,-0.0724870281,-0.2811288562,1.351633431,0.5669903078
0.5625940324,-0.0724870281,0.2177348243,-0.4720872579,-0.4970396016
0.5625940324,-0.0933575954,0.8828863982,-0.4132575582,-1.3545984955
0.558603837,-0.1751548208,0.8828863982,-0.3544278586,-1.3545984955
0.558603837,-0.1751548208,-0.2811288562,-1.0211644545,-0.2124430228
0.558603837,-0.1751548208,0.5503106112,-1.5702416512,-0.9965924254
0.5567884002,-0.2218371206,-0.7799925366,-0.4720872579,0.9197344422
0.5573557288,-0.2651250447,0.8828863982,1.194754232,-0.8536664501
0.5571127446,-0.281518608,-1.278856217,-0.6877961566,1.0605637035
0.5567884002,-0.3027614687,0.8828863982,-0.7466258562,-0.5682865055
0.5567884002,-0.3588197626,-1.278856217,-1.0211644545,0.990168202
0.5567884002,-0.3679415809,0.8828863982,-0.3544278586,-0.6395725991
0.5567884002,-0.4405257117,0.0514469308,-1.0799941542,-0.4258318443
